,STOP_NAME,HOUR,LAT,LONG,PCT_CHECKINS_mean
7562,RASPAIL,2018-01-01 10:00:00,48.8389642807,2.33075419209,3.39
7563,RASPAIL,2018-01-01 11:00:00,48.8389642807,2.33075419209,3.78
7564,RASPAIL,2018-01-01 12:00:00,48.8389642807,2.33075419209,5.885
7565,RASPAIL,2018-01-01 14:00:00,48.8389642807,2.33075419209,4.965
7566,RASPAIL,2018-01-01 18:00:00,48.8389642807,2.33075419209,11.03
7567,RASPAIL,2018-01-01 21:00:00,48.8389642807,2.33075419209,3.2
7568,RASPAIL,2018-01-01 03:00:00,48.8389642807,2.33075419209,0.01
7587,REAUMUR-SEBASTOPOL,2018-01-01 00:00:00,48.866235133,2.3525493044,1.37
7588,REAUMUR-SEBASTOPOL,2018-01-01 10:00:00,48.866235133,2.3525493044,2.92
7589,REAUMUR-SEBASTOPOL,2018-01-01 11:00:00,48.866235133,2.3525493044,2.98
7590,REAUMUR-SEBASTOPOL,2018-01-01 16:00:00,48.866235133,2.3525493044,6.8100000000000005
7591,REAUMUR-SEBASTOPOL,2018-01-01 17:00:00,48.866235133,2.3525493044,11.72
7592,REAUMUR-SEBASTOPOL,2018-01-01 01:00:00,48.866235133,2.3525493044,0.29000000000000004
7593,REAUMUR-SEBASTOPOL,2018-01-01 20:00:00,48.866235133,2.3525493044,5.87
7594,REAUMUR-SEBASTOPOL,2018-01-01 23:00:00,48.866235133,2.3525493044,2.655
7595,REAUMUR-SEBASTOPOL,2018-01-01 02:00:00,48.866235133,2.3525493044,0.015
7596,REAUMUR-SEBASTOPOL,2018-01-01 05:00:00,48.866235133,2.3525493044,0.4
7597,REAUMUR-SEBASTOPOL,2018-01-01 06:00:00,48.866235133,2.3525493044,0.885
7606,GUY MOQUET,2018-01-01 10:00:00,48.892828853400005,2.3274284585,4.550000000000002
7607,GUY MOQUET,2018-01-01 11:00:00,48.892828853400005,2.3274284585,4.215
7608,GUY MOQUET,2018-01-01 12:00:00,48.892828853400005,2.3274284585,4.82
7609,GUY MOQUET,2018-01-01 22:00:00,48.892828853400005,2.3274284585,1.68
7610,GUY MOQUET,2018-01-01 05:00:00,48.892828853400005,2.3274284585,0.635
7635,HAVRE-CAUMARTIN,2018-01-01 17:00:00,48.873806733900004,2.32699985888,10.865
7636,HAVRE-CAUMARTIN,2018-01-01 19:00:00,48.873806733900004,2.32699985888,12.29
7637,HAVRE-CAUMARTIN,2018-01-01 20:00:00,48.873806733900004,2.32699985888,7.015
7638,HAVRE-CAUMARTIN,2018-01-01 22:00:00,48.873806733900004,2.32699985888,1.97
7639,HAVRE-CAUMARTIN,2018-01-01 04:00:00,48.873806733900004,2.32699985888,0.0
7640,HAVRE-CAUMARTIN,2018-01-01 09:00:00,48.873806733900004,2.32699985888,5.15
7660,LE PELETIER,2018-01-01 00:00:00,48.8748743434,2.34019988439,1.14
7661,LE PELETIER,2018-01-01 10:00:00,48.8748743434,2.34019988439,2.51
7662,LE PELETIER,2018-01-01 12:00:00,48.8748743434,2.34019988439,4.245
7663,LE PELETIER,2018-01-01 15:00:00,48.8748743434,2.34019988439,5.215
7664,LE PELETIER,2018-01-01 01:00:00,48.8748743434,2.34019988439,0.18
7665,LE PELETIER,2018-01-01 06:00:00,48.8748743434,2.34019988439,0.495
7687,LES GOBELINS,2018-01-01 14:00:00,48.8358634878,2.35258892287,5.095
7688,LES GOBELINS,2018-01-01 17:00:00,48.8358634878,2.35258892287,9.760000000000002
7689,LES GOBELINS,2018-01-01 23:00:00,48.8358634878,2.35258892287,1.56
7690,LES GOBELINS,2018-01-01 02:00:00,48.8358634878,2.35258892287,0.0
7691,LES GOBELINS,2018-01-01 07:00:00,48.8358634878,2.35258892287,4.375
7692,LES GOBELINS,2018-01-01 09:00:00,48.8358634878,2.35258892287,8.535
7698,REAUMUR-SEBASTOPOL,2018-01-01 09:00:00,48.866235133,2.3525493044,5.67
7711,RENNES,2018-01-01 12:00:00,48.848457848500004,2.32778212715,6.875
7712,RENNES,2018-01-01 05:00:00,48.848457848500004,2.32778212715,0.14500000000000002
7714,SAINT-AMBROISE,2018-01-01 22:00:00,48.8610192599,2.3747334312799997,1.985
7715,SAINT-AMBROISE,2018-01-01 23:00:00,48.8610192599,2.3747334312799997,1.775
7716,SAINT-AMBROISE,2018-01-01 06:00:00,48.8610192599,2.3747334312799997,1.2
7732,SAINT-AUGUSTIN,2018-01-01 00:00:00,48.8745583847,2.3213619281,0.36
7733,SAINT-AUGUSTIN,2018-01-01 14:00:00,48.8745583847,2.3213619281,4.335
7734,SAINT-AUGUSTIN,2018-01-01 05:00:00,48.8745583847,2.3213619281,0.155
7744,BERCY,2018-01-01 01:00:00,48.8403020934,2.3791217764400003,0.205
7745,BERCY,2018-01-01 05:00:00,48.8403020934,2.3791217764400003,0.91
7746,BERCY,2018-01-01 09:00:00,48.8403020934,2.3791217764400003,5.285
7757,PONT DE LEVALLOIS-BECON,2018-01-01 13:00:00,48.8978210671,2.2798095866900003,3.205
7772,LES HALLES,2018-01-01 10:00:00,48.8623162796,2.34567382821,4.365
7773,LES HALLES,2018-01-01 12:00:00,48.8623162796,2.34567382821,4.205
7774,LES HALLES,2018-01-01 14:00:00,48.8623162796,2.34567382821,4.15
7775,LES HALLES,2018-01-01 15:00:00,48.8623162796,2.34567382821,4.6
7776,LES HALLES,2018-01-01 16:00:00,48.8623162796,2.34567382821,5.8450000000000015
7777,LES HALLES,2018-01-01 17:00:00,48.8623162796,2.34567382821,8.46
7778,LES HALLES,2018-01-01 18:00:00,48.8623162796,2.34567382821,10.015
7779,LES HALLES,2018-01-01 20:00:00,48.8623162796,2.34567382821,4.635
7780,LES HALLES,2018-01-01 23:00:00,48.8623162796,2.34567382821,1.7000000000000002
